0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:01 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:02 +0700] "GET /luceneweb/ HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:02 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:02 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:07 +0700] "GET /luceneweb/ HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:07 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:17 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:17 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:22 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:22 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:23 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:23 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:27 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:27 +0700] "GET /luceneweb/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:27 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:30 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:30 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:31 +0700] "GET /luceneweb/ HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [12/Nov/2017:18:45:31 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
